time;temperature
764.33;33.69
765.33;33.69
766.34;33.69
767.35;33.75
768.36;33.75
769.37;33.81
770.38;33.81
771.38;33.81
772.39;33.81
773.4;33.81
774.41;33.88
775.42;33.94
776.43;33.94
777.44;33.94
778.44;33.94
779.45;33.94
780.46;34
781.47;34.06
782.48;34.06
783.49;34.13
784.5;34.06
785.5;34.06
786.51;34.06
787.52;34.06
788.53;34.13
789.54;34.06
790.55;34.06
791.55;34.06
792.56;34.06
793.57;34.06
794.58;34.13
795.59;34.25
796.6;34.25
797.61;34.38
798.61;34.38
799.62;34.38
800.63;34.38
801.64;34.44
802.65;34.44
803.66;34.38
804.66;34.38
805.67;34.38
806.68;34.38
807.69;34.44
808.7;34.44
809.71;34.38
810.72;34.31
811.73;34.25
812.73;34.25
813.74;34.25
814.75;34.25
815.76;34.19
816.77;34.25
817.78;34.19
818.79;34.13
819.79;34.13
820.8;34.19
821.81;34.13
822.82;34.13
823.83;34.13
824.84;34.19
825.85;34.19
826.85;34.19
827.86;34.13
828.87;34.13
829.88;34.13
830.89;34.13
831.9;34.13
832.9;34.19
833.91;34.25
834.92;34.31
835.93;34.25
836.94;34.38
837.95;34.38
838.96;34.38
839.96;34.38
840.97;34.44
841.98;34.38
842.99;34.38
844;34.44
845.01;34.44
846.01;34.44
847.02;34.44
848.03;34.38
849.04;34.44
850.05;34.44
851.06;34.44
852.07;34.5
853.07;34.5
854.09;34.5
855.09;34.5
856.1;34.44
857.11;34.44
858.12;34.44
859.12;34.44
860.14;34.44
861.14;34.44
862.15;34.44
863.16;34.44
864.17;34.44
865.17;34.38
866.19;34.38
867.2;34.31
868.2;34.31
869.21;34.25
870.22;34.19
871.23;34.19
872.24;34.25
873.25;34.25
874.25;34.19
875.26;34.25
876.27;34.25
877.28;34.19
878.29;34.19
879.3;34.19
880.3;34.19
881.31;34.13
882.32;34.06
883.33;34.13
884.34;34.06
885.35;34.13
886.36;34.13
887.36;34.13
888.37;34.13
889.38;34.13
890.39;34.13
891.4;34.06
892.41;34.06
893.41;34.13
894.42;34.13
895.43;34.13
896.44;34.13
897.45;34.13
898.46;34.13
899.47;34.13
900.48;34.13
901.49;34.13
902.49;34.13
903.5;34.13
904.51;34.13
905.52;34.19
906.53;34.19
907.54;34.19
908.55;34.19
909.55;34.13
910.56;34.13
911.57;34.06
912.58;34.06
913.59;34.06
914.6;34
915.61;34.06
916.61;34.06
917.62;34.13
918.63;34.19
919.64;34.25
920.65;34.31
921.66;34.44
922.66;34.44
923.67;34.5
924.68;34.56
925.69;34.56
926.7;34.69
927.71;34.69
928.72;34.75
929.72;34.75
930.73;34.81
931.74;34.81
932.75;34.81
933.76;34.81
934.77;34.81
935.77;34.88
936.79;34.88
937.79;34.88
938.8;34.88
939.81;34.88
940.82;34.88
941.83;34.88
942.84;34.88
943.85;34.94
944.85;34.94
945.86;34.88
946.87;34.94
947.88;34.94
948.89;34.94
949.89;34.94
950.9;34.94
951.91;34.94
952.92;35
953.93;35
954.94;35
955.95;35
956.95;34.94
957.97;34.94
958.97;35
959.98;34.94
960.99;34.94
962;35
963.01;34.94
964.02;34.94
965.03;35
966.03;35
967.04;35
968.05;35.06
969.06;35.06
970.07;35
971.08;35
972.09;35
973.09;34.94
974.1;34.94
975.11;34.94
976.12;34.94
977.13;35
978.14;35
979.15;35.06
980.15;35.13
981.16;35.13
982.17;35.06
983.18;35
984.19;35.06
985.2;35.06
986.21;35
987.22;35
988.22;35
989.23;35.06
990.24;35.06
991.25;35.13
992.26;35.13
993.27;35.13
994.27;35.13
995.28;35.13
996.29;35.13
997.3;35.13
998.31;35.13
999.32;35.13
1000.33;35.13
1001.34;35.13
1002.35;35.13
1003.35;35.13
1004.36;35.19
1005.37;35.19
1006.38;35.19
1007.39;35.25
1008.39;35.25
1009.4;35.25
1010.41;35.25
1011.42;35.31
1012.43;35.25
1013.44;35.25
1014.45;35.19
1015.46;35.19
1016.47;35.19
1017.47;35.19
1018.48;35.13
1019.49;35.06
1020.5;35.13
1021.51;35.13
1022.52;35.13
1023.53;35.19
1024.53;35.25
1025.55;35.31
1026.55;35.31
1027.56;35.31
1028.57;35.31
1029.58;35.31
1030.59;35.31
1031.6;35.31
1032.6;35.31
1033.61;35.38
1034.62;35.31
1035.63;35.25
1036.64;35.19
1037.65;35.13
1038.65;35.19
1039.67;35.13
1040.67;35.13
1041.68;35.13
1042.69;35.06
1043.7;35.06
1044.71;35
1045.72;35
1046.73;35
1047.73;35
1048.74;35
1049.75;35
1050.76;34.94
1051.77;34.94
1052.78;34.81
1053.79;34.88
1054.79;34.88
1055.81;34.88
1056.81;34.88
1057.82;34.88
1058.83;34.81
1059.84;34.75
1060.85;34.81
1061.86;34.81
1062.86;34.81
1063.87;34.81
1064.88;34.81
1065.89;34.75
1066.9;34.69
1067.91;34.69
1068.91;34.75
1069.92;34.69
1070.93;34.75
1071.94;34.69
1072.95;34.69
1073.96;34.69
1074.97;34.75
1075.97;34.75
1076.98;34.75
1077.99;34.69
1079;34.75
1080.01;34.75
1081.02;34.75
1082.03;34.81
1083.04;34.75
1084.05;34.75
1085.05;34.75
1086.06;34.69
1087.07;34.63
1088.08;34.63
1089.09;34.56
1090.1;34.63
1091.1;34.63
1092.11;34.63
1093.12;34.69
1094.13;34.69
